GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - For rent,Margin of Error; Total: - For rent,"Estimate; Total: - Rented, not occupied","Margin of Error; Total: - Rented, not occupied",Estimate; Total: - For sale only,Margin of Error; Total: - For sale only,"Estimate; Total: - Sold, not occupied","Margin of Error; Total: - Sold, not occupied","Estimate; Total: - For seasonal, recreational, or occasional use","Margin of Error; Total: - For seasonal, recreational, or occasional use",Estimate; Total: - For migrant workers,Margin of Error; Total: - For migrant workers,Estimate; Total: - Other vacant,Margin of Error; Total: - Other vacant
1400000US47037010401,47037010401,"Census Tract 104.01, Davidson County, Tennessee",360,125,112,81,96,74,0,12,0,12,9,14,0,12,143,87
1400000US47037010402,47037010402,"Census Tract 104.02, Davidson County, Tennessee",549,173,159,121,26,40,59,67,0,17,0,17,0,17,305,154
1400000US47037010501,47037010501,"Census Tract 105.01, Davidson County, Tennessee",62,68,0,17,0,17,0,17,0,17,0,17,0,17,62,68
1400000US47037010502,47037010502,"Census Tract 105.02, Davidson County, Tennessee",191,104,30,46,27,42,65,59,0,12,20,33,0,12,49,47
1400000US47037010601,47037010601,"Census Tract 106.01, Davidson County, Tennessee",218,117,57,70,0,12,42,53,42,66,0,12,0,12,77,81
1400000US47037010602,47037010602,"Census Tract 106.02, Davidson County, Tennessee",148,93,39,58,0,12,0,12,0,12,0,12,0,12,109,82
1400000US47037010701,47037010701,"Census Tract 107.01, Davidson County, Tennessee",370,109,108,59,45,50,64,59,0,12,0,12,0,12,153,87
1400000US47037010702,47037010702,"Census Tract 107.02, Davidson County, Tennessee",197,93,92,70,55,52,0,12,9,14,0,12,0,12,41,45
1400000US47037010801,47037010801,"Census Tract 108.01, Davidson County, Tennessee",143,103,16,30,0,17,24,39,0,17,14,22,0,17,89,94
1400000US47037010802,47037010802,"Census Tract 108.02, Davidson County, Tennessee",74,73,36,57,25,41,0,12,0,12,0,12,0,12,13,21
1400000US47037010901,47037010901,"Census Tract 109.01, Davidson County, Tennessee",183,67,54,44,0,12,59,43,0,12,22,27,0,12,48,42
1400000US47037010903,47037010903,"Census Tract 109.03, Davidson County, Tennessee",269,101,35,41,0,17,70,62,0,17,0,17,0,17,164,84
1400000US47037010904,47037010904,"Census Tract 109.04, Davidson County, Tennessee",116,90,33,37,0,12,0,12,0,12,0,12,0,12,83,84
1400000US47037011001,47037011001,"Census Tract 110.01, Davidson County, Tennessee",302,146,168,102,80,74,0,17,0,17,0,17,0,17,54,63
1400000US47037011002,47037011002,"Census Tract 110.02, Davidson County, Tennessee",108,64,19,28,0,12,0,12,0,12,0,12,0,12,89,60
1400000US47037011100,47037011100,"Census Tract 111, Davidson County, Tennessee",126,73,58,56,0,12,26,42,0,12,0,12,0,12,42,43
1400000US47037011200,47037011200,"Census Tract 112, Davidson County, Tennessee",227,114,73,64,0,12,33,48,0,12,7,11,0,12,114,80
1400000US47037011300,47037011300,"Census Tract 113, Davidson County, Tennessee",424,155,179,99,15,26,40,49,21,34,0,12,0,12,169,93
1400000US47037011400,47037011400,"Census Tract 114, Davidson County, Tennessee",288,108,86,70,63,56,0,12,23,38,9,14,0,12,107,79
1400000US47037011500,47037011500,"Census Tract 115, Davidson County, Tennessee",221,118,0,12,0,12,65,69,0,12,0,12,0,12,156,107
1400000US47037011600,47037011600,"Census Tract 116, Davidson County, Tennessee",165,99,89,71,65,70,0,12,0,12,11,17,0,12,0,12
1400000US47037011700,47037011700,"Census Tract 117, Davidson County, Tennessee",208,135,97,88,0,17,0,17,0,17,0,17,0,17,111,103
1400000US47037011800,47037011800,"Census Tract 118, Davidson County, Tennessee",198,91,55,47,16,26,44,40,32,45,6,10,0,12,45,41
1400000US47037011900,47037011900,"Census Tract 119, Davidson County, Tennessee",249,85,107,63,13,20,46,42,11,18,0,12,0,12,72,54
1400000US47037012100,47037012100,"Census Tract 121, Davidson County, Tennessee",103,63,0,12,0,12,0,12,0,12,0,12,0,12,103,63
1400000US47037012200,47037012200,"Census Tract 122, Davidson County, Tennessee",135,72,20,30,0,12,52,56,0,12,0,12,0,12,63,45
1400000US47037012600,47037012600,"Census Tract 126, Davidson County, Tennessee",79,46,23,26,0,12,14,22,0,12,10,16,0,12,32,32
